0,6.57,480
1,7.23,684
2,7.79,696
3,8.4,516
4,8.47,300
5,8.26,252
6,7.89,408
7,7.83,636
8,8.28,720
9,8.93,576
10,9.26,348
11,9.2,240
12,8.8,348
13,8.58,576
14,8.9,720
15,9.58,636
16,10.12,408
17,10.08,252
18,9.62,300
19,9.39,516
20,9.72,696
21,10.27,684
22,11.09,480
23,11.25,276
24,10.76,264
25,10.48,444
26,10.45,660
27,11.03,708
28,11.88,540
29,12.3,324
30,12.01,240
31,11.49,384
32,11.41,612
33,12.06,720
34,13.0,612
35,13.49,372
36,13.39,240
37,12.82,324
38,12.5,552
39,12.96,708
40,13.96,660
41,14.73,444
42,14.69,264
43,14.3,276
44,13.68,480
45,13.88,684
46,14.96,696
47,15.83,504
48,16.39,300
49,15.98,252
50,15.26,420
51,15.21,636
52,16.06,720
53,17.3,576
54,17.92,348
55,17.49,240
56,16.73,360
57,16.62,588
58,17.22,720
59,18.58,636
60,19.65,408
61,19.51,252
62,18.67,300
63,18.21,516
64,18.87,696
65,19.91,684
66,21.46,468
67,21.81,276
68,20.82,264
69,20.34,456
70,20.21,660
71,21.38,708
72,23.06,540
73,23.87,312
74,23.28,240
75,22.22,384
76,22.16,612
77,22.91,720
78,24.69,600
79,26.1,372
80,26.01,240
81,24.85,324
82,24.2,552
83,25.08,708
84,26.54,660
85,28.62,432
86,28.41,264
87,27.19,288
88,26.52,492
89,26.92,684
90,28.99,696
91,30.63,504
92,31.77,288
93,30.33,252
94,29.02,420
95,29.44,648
96,31.14,720
97,33.59,576
98,34.77,348
99,33.91,240
100,32.37,360
101,32.28,588
102,33.36,720
103,35.97,624
104,38.02,408
105,37.89,252
106,36.19,300
107,35.25,528
108,36.52,708
109,38.65,672
110,41.68,468
111,42.23,276
112,40.44,264
113,38.63,456
114,39.21,672
115,41.39,708
116,44.62,540
117,46.28,312
118,45.07,240
119,43.16,396
120,42.88,624
121,45.35,720
122,48.93,600
123,49.58,372
124,49.39,240
125,47.15,336
126,46.07,564
127,47.63,708
128,51.34,648
129,51.19,432
130,50.83,252
131,47.63,288
132,46.53,492
133,47.15,684
134,49.82,696
135,52.66,504
136,51.35,288
137,49.18,252
138,47.87,420
139,47.71,648
140,49.32,720
141,52.14,564
142,50.89,336
143,50.59,240
144,48.34,360
145,47.24,588
146,48.83,720
147,50.59,624
148,50.41,396
149,50.08,252
